ID дистрибьютора;Код клиента ERP;Дата;Код продукта дистрибьютора;Количество;Сумма отгрузки;Код ТА;Закупочная цена;Номер расходной накладной;
17;ЛЦ0003048;23.06.2023;ЛЦ0007401;10;879,6;000000087;79,92;УП000005209;
17;ЛЦ0003048;30.05.2023;ЛЦ0007401;10;879,6;000000087;79,92;УП000004522;
17;РВ0000015;28.06.2023;ЛЦ0007401;30;2638,8;000000097;79,92;П0000008730;
17;ЛЦ0003048;12.06.2023;ЛЦ0007401;10;879,6;000000087;79,92;УП000004850;
17;РВ0000015;07.06.2023;ЛЦ0007401;40;3518,4;000000097;79,92;П0000007792;
17;РВ0000015;05.07.2023;ЛЦ0007401;50;4398;000000097;79,92;П0000009085;
17;ЛЦ0002270;10.07.2023;ЛЦ0007893;1080;7840,8;000000087;6,6;УП000005639;
17;ЛЦ0002270;02.06.2023;ЛЦ0007893;970;7042,2;000000087;6,6;УП000004623;
17;ЛЦ0002270;23.06.2023;ЛЦ0007893;1690;12269,4;000000087;6,6;УП000005201;
17;ЛЦ0002270;11.07.2023;ЛЦ0007893;720;5227,2;000000087;6,6;П0000009373;
17;ЛЦ0002270;23.06.2023;ЛЦ0007893;110;798,6;000000087;6,6;УП000005201;
17;ЛЦ0002270;15.06.2023;ЛЦ0007893;720;5227,2;000000087;6,6;УП000004952;
17;ЛЦ0002270;03.07.2023;ЛЦ0007893;1690;12269,4;000000087;6,6;УП000005440;
17;ЛЦ0002270;02.06.2023;ЛЦ0007893;470;3412,2;000000087;6,6;УП000004623;
17;ЛЦ0002270;03.07.2023;ЛЦ0007893;110;798,6;000000087;6,6;УП000005440;
17;ЛЦ0002270;09.06.2023;ЛЦ0007893;1800;13068;000000087;6,6;УП000004802;
17;ЛЦ0002270;23.06.2023;ЛЦ0007894;54;13115,52;000000087;220,8;УП000005202;
17;ЛЦ0002270;02.06.2023;ЛЦ0007894;24;5829,12;000000087;220,8;УП000004623;
17;ЛЦ0002270;03.07.2023;ЛЦ0007894;1;242,88;000000087;220,8;УП000005440;
17;ЛЦ0002270;10.07.2023;ЛЦ0007894;42;10200,96;000000087;220,8;УП000005639;
17;ЛЦ0002270;03.07.2023;ЛЦ0007894;59;14329,92;000000087;220,8;УП000005440;
17;ЛЦ0002270;09.06.2023;ЛЦ0007894;7;1700,16;000000087;220,8;УП000004802;
17;ЛЦ0002270;09.06.2023;ЛЦ0007894;35;8500,8;000000087;220,8;УП000004802;
17;ЛЦ0002270;15.06.2023;ЛЦ0007894;30;7286,4;000000087;220,8;УП000004952;
17;РВ0000051;03.07.2023;ЛЦ0008631;2,016;212,16;000000097;86,43;УП000005453;
17;РВ0000051;03.07.2023;ЛЦ0008631;12,096;1272,99;000000097;86,43;УП000005453;
17;ЛЦ0001640;27.06.2023;ЛЦ0008631;12,096;1486,36;000000087;86,43;П0000008665;
17;ЛЦ0001640;30.06.2023;ЛЦ0008631;12,096;1486,36;000000087;86,43;П0000008871;
17;РВ0000054;01.06.2023;ЛЦ0008631;4,032;495,45;000000087;86,43;П0000007529;
17;ЛЦ0000774;11.07.2023;ЛЦ0008631;1,008;136,26;000000087;86,43;УП000005723;
17;РВ0000054;15.06.2023;ЛЦ0008631;4,032;495,45;000000087;86,43;П0000008159;
17;РВ0000128;15.06.2023;ЛЦ0008631;1,008;158,4;000000097;86,43;П0000008186;
17;РВ0000048;04.07.2023;ЛЦ0008631;9,072;954,74;000000097;86,43;УП000005482;
17;ЛЦ0003240;06.06.2023;ЛЦ0008631;1;135,18;000000087;86,42;УП000004712;
17;РВ0000051;31.05.2023;ЛЦ0008631;22,176;2333,8;000000097;86,43;УП000004559;
17;ЛЦ0000574;13.06.2023;ЛЦ0008631;1,008;119,81;000000087;86,43;УП000004883;
17;ЛЦ0001640;16.06.2023;ЛЦ0008631;10,08;1238,63;000000087;86,43;П0000008252;
17;ЛЦ0001786;06.06.2023;ЛЦ0008631;1,008;136,26;000000087;86,43;УП000004689;
17;ЛУ0000011;10.07.2023;ЛЦ0008631;12,096;1272,98;000000087;86,43;УП000005657;
17;РВ0000051;12.06.2023;ЛЦ0008631;5,04;530,41;000000097;86,43;УП000004836;
17;РВ0000051;07.06.2023;ЛЦ0008631;9,072;954,74;000000097;86,43;УП000004739;
17;РВ0000051;10.07.2023;ЛЦ0008631;9,072;954,74;000000097;86,43;УП000005647;
17;ЛЦ0002755;29.05.2023;ЛЦ0008631;18,144;1909,47;000000097;86,43;УП000004471;
17;ЛУ0000147;11.07.2023;ЛЦ0008631;1,008;119,81;000000087;86,43;УП000005696;
17;ЛЦ0001786;27.06.2023;ЛЦ0008631;1,008;136,26;000000087;86,43;УП000005299;
17;ЛУ0000011;22.06.2023;ЛЦ0008631;12,096;1272,98;000000087;86,43;УП000005182;
17;ЛЦ0002755;07.06.2023;ЛЦ0008631;27,216;2864,21;000000097;86,43;УП000004746;
17;ЛЦ0002755;26.06.2023;ЛЦ0008631;18,144;1909,47;000000097;86,43;УП000005264;
17;ЛЦ0001640;07.07.2023;ЛЦ0008631;9,072;1114,77;000000087;86,43;П0000009168;
17;ЛЦ0003020;11.07.2023;ЛЦ0008631;1,008;158,4;000000097;86,43;П0000009369;
17;ЛУ0000147;13.06.2023;ЛЦ0008631;1,008;119,81;000000087;86,43;УП000004890;
17;ЛЦ0003151;08.06.2023;ЛЦ0008631;10,08;1120,09;000000087;86,43;УП000004765;
17;ЛУ0000021;15.06.2023;ЛЦ0008631;1,008;123,86;000000087;86,43;П0000008146;
17;ЛУ0000021;29.06.2023;ЛЦ0008631;3,024;371,59;000000087;86,43;П0000008770;
17;ЛЦ0003020;20.06.2023;ЛЦ0008631;2,016;316,79;000000097;86,43;П0000008349;
17;ЛЦ0002755;12.06.2023;ЛЦ0008631;13,104;1379,06;000000097;86,43;УП000004848;
17;РВ0000054;06.07.2023;ЛЦ0008631;2,016;247,73;000000087;86,43;П0000009147;
17;РВ0000048;27.06.2023;ЛЦ0008631;9,072;954,74;000000097;86,43;УП000005268;
17;ЛЦ0003240;06.06.2023;ЛЦ0008631;0,008;1,08;000000087;87,5;УП000004712;
17;РВ0000050;31.05.2023;ЛЦ0008631;9,072;954,74;000000097;86,43;УП000004581;
17;ЛЦ0001640;30.05.2023;ЛЦ0008631;13,104;1610,22;000000087;86,43;П0000007386;
17;ЛЦ0001640;06.06.2023;ЛЦ0008631;16,128;1981,81;000000087;86,43;П0000007744;
17;ЛУ0000147;30.05.2023;ЛЦ0008631;1,008;119,81;000000087;86,43;УП000004520;
17;ЛЦ0002755;12.06.2023;ЛЦ0008631;5,04;530,41;000000097;86,43;УП000004848;
17;РВ0000128;06.07.2023;ЛЦ0008631;2,016;316,79;000000097;86,43;П0000009115;
17;ЛЦ0002601;20.06.2023;ЛЦ0008631;1,008;136,26;000000087;86,43;УП000005111;
17;ЛУ0000021;29.06.2023;ЛЦ0008631;2,016;247,73;000000087;86,43;П0000008766;
17;РВ0000128;06.07.2023;ЛЦ0008631;1,008;158,4;000000097;86,43;П0000009156;
17;РВ0000051;14.06.2023;ЛЦ0008631;15,12;1591,23;000000097;86,43;УП000004933;
17;РВ0000051;14.06.2023;ЛЦ0008631;3,024;318,25;000000097;86,43;УП000004933;
17;ЛЦ0002590;07.07.2023;ЛЦ0008631;1,008;158,4;000000087;86,43;П0000009233;
17;ЛУ0000011;03.07.2023;ЛЦ0008631;2,016;212,16;000000087;86,43;УП000005462;
17;ЛЦ0003020;05.07.2023;ЛЦ0008631;1,008;158,4;000000097;86,43;П0000009093;
17;РВ0000051;12.06.2023;ЛЦ0008631;4,032;424,33;000000097;86,43;УП000004836;
17;ЛЦ0000574;06.06.2023;ЛЦ0008631;3,024;359,43;000000087;86,43;УП000004700;
17;РВ0000048;13.06.2023;ЛЦ0008631;9,072;954,74;000000097;86,43;УП000004868;
17;ЛЦ0003151;22.06.2023;ЛЦ0008631;10,08;1120,09;000000087;86,43;УП000005163;
17;ЛЦ0001640;13.06.2023;ЛЦ0008631;11,088;1362,49;000000087;86,43;П0000008016;
17;ЛУ0000147;20.06.2023;ЛЦ0008631;1,008;119,81;000000087;86,43;УП000005097;
17;ЛУ0000147;04.07.2023;ЛЦ0008631;1,008;119,81;000000087;86,43;УП000005501;
17;РВ0000048;20.06.2023;ЛЦ0008631;9,072;954,74;000000097;86,43;УП000005075;
17;РВ0000128;01.06.2023;ЛЦ0008631;3,024;475,19;000000097;86,43;П0000007511;
17;ЛЦ0001786;11.07.2023;ЛЦ0008631;1,008;136,26;000000087;86,43;УП000005721;
17;ЛЦ0002590;19.06.2023;ЛЦ0008631;1,008;158,4;000000087;86,43;П0000008358;
17;ЛУ0000011;29.06.2023;ЛЦ0008631;12,096;1272,98;000000087;86,43;УП000005383;
17;РВ0000003;05.07.2023;ЛЦ0008631;9,072;954,74;000000097;86,43;УП000005551;
17;РВ0000051;26.06.2023;ЛЦ0008631;2,016;212,16;000000097;86,43;УП000005236;
17;ЛЦ0002755;04.07.2023;ЛЦ0008631;24,192;2545,97;000000097;86,43;УП000005486;
17;ЛУ0000021;06.07.2023;ЛЦ0008631;2,016;247,73;000000087;86,43;П0000009145;
17;РВ0000003;12.06.2023;ЛЦ0008631;9,072;954,74;000000097;86,43;УП000004858;
17;ЛЦ0000574;20.06.2023;ЛЦ0008631;3,024;359,43;000000087;86,43;УП000005103;
17;ЛУ0000011;26.06.2023;ЛЦ0008631;2,016;212,16;000000087;86,43;УП000005255;
17;ЛЦ0000774;06.06.2023;ЛЦ0008631;1,008;136,26;000000087;86,43;УП000004702;
17;РВ0000003;19.06.2023;ЛЦ0008631;6,048;636,49;000000097;86,43;УП000005064;
17;ЛЦ0003151;15.06.2023;ЛЦ0008631;10,08;1120,09;000000087;86,43;УП000004953;
17;РВ0000048;30.05.2023;ЛЦ0008631;9,072;954,74;000000097;86,43;УП000004504;
17;РВ0000003;19.06.2023;ЛЦ0008631;12,096;1272,98;000000097;86,43;УП000005064;
17;РВ0000051;05.07.2023;ЛЦ0008631;14,112;1485,15;000000097;86,43;УП000005540;
17;ЛЦ0003020;31.05.2023;ЛЦ0008631;1,008;158,4;000000097;86,43;П0000007461;
17;РВ0000054;07.07.2023;ЛЦ0008631;15,12;1857,95;000000087;86,43;П0000009222;
17;РВ0000054;07.07.2023;ЛЦ0008631;5,04;619,32;000000087;86,43;П0000009222;
17;ЛЦ0000870;15.06.2023;ЛЦ0008631;0,042;4,03;000000087;86,19;УП000004991;
17;РВ0000054;30.06.2023;ЛЦ0008631;10,08;1238,63;000000087;86,43;П0000008869;
17;РВ0000051;26.06.2023;ЛЦ0008631;16,128;1697,31;000000097;86,43;УП000005236;
17;ЛЦ0003050;03.07.2023;ЛЦ0008631;5,04;530,41;000000097;86,43;УП000005479;
