ID дистрибьютора;Дата;Код продукта дистрибьютора;Количество;Сумма в закупочных ценах;
17;28.05.2023;ЛЦ0007401;50;3330;
17;28.05.2023;ЛЦ0011120;0;0;
17;28.05.2023;ЛЦ0004199;0;0;
17;28.05.2023;ЛЦ0011382;150;10250;
17;28.05.2023;ЛУ0000025;0;0;
17;28.05.2023;ЛУ0000044;80;3336,01;
17;28.05.2023;ЛЦ0003862;50;4412,5;
17;28.05.2023;ЛЦ0009247;0;0;
17;28.05.2023;ЛЦ0005445;0;0;
17;28.05.2023;ЛЦ0010418;0;0;
17;28.05.2023;ЛЦ0010706;0;0;
17;28.05.2023;ЛЦ0006627;0;0;
17;28.05.2023;ЛЦ0010460;146;584;
17;28.05.2023;ЛЦ0006108;194,5;34134,75;
17;28.05.2023;ЛЦ0011001;0;0;
17;28.05.2023;ЛЦ0011121;0;0;
17;28.05.2023;ЛЦ0005798;0;0;
17;28.05.2023;ЛУ0000026;122;11224;
17;28.05.2023;ЛЦ0011383;150;15625;
17;28.05.2023;ЛЦ0002663;160;17312;
17;28.05.2023;ЛУ0000045;76;7212,4;
17;28.05.2023;ЛУ0009210;0;0;
17;28.05.2023;ЛЦ0003863;133;10320,8;
17;28.05.2023;ЛЦ0011441;0;0;
17;28.05.2023;ЛЦ0009357;0;0;
17;28.05.2023;ЛЦ0011301;720;37235;
17;28.05.2023;ЛЦ0005548;0;0;
17;28.05.2023;ЛУ0007470;0;0;
17;28.05.2023;ЛЦ0011384;600;22500;
17;28.05.2023;ЛУ0000027;0;0;
17;28.05.2023;ЛУ0000046;0;0;
17;28.05.2023;ЛЦ0003864;25;1980;
17;28.05.2023;ЛЦ0010823;0;0;
17;28.05.2023;ЛЦ0009358;449;37,42;
17;28.05.2023;ЛУ0000003;792;38451,6;
17;28.05.2023;ЛУ0012020;307;17268,75;
17;28.05.2023;ЛЦ0011353;300;25;
17;28.05.2023;ЛЦ0002289;0;0;
17;28.05.2023;ЛУ0000246;0;0;
17;28.05.2023;ЛУ0000047;15;1791,75;
17;28.05.2023;ЛЦ0004202;0;0;
17;28.05.2023;ЛЦ0011117;0;0;
17;28.05.2023;ЛЦ0004684;2802,6;183570,3;
17;28.05.2023;ЛЦ0005103;4200;23100;
17;28.05.2023;ЛЦ0010356;0;0;
17;28.05.2023;ЛЦ0010824;0;0;
17;28.05.2023;ЛЦ0011313;24;20;
17;28.05.2023;ЛЦ0010682;1010;51358,5;
17;28.05.2023;ЛЦ0009359;0;0;
17;28.05.2023;ЛЦ0011361;100;8,33;
17;28.05.2023;ЛУ0000018;242;16371,3;
17;28.05.2023;ЛЦ0007893;470;2585;
17;28.05.2023;ЛЦ0010967;1235;61564,75;
17;28.05.2023;ЛЦ0011312;0;0;
17;28.05.2023;ЛЦ0006403;50;3900;
17;28.05.2023;ЛУ0012000;50;3927,49;
17;28.05.2023;ЛУ0000649;0;0;
17;28.05.2023;ЛЦ0010981;720;60;
17;28.05.2023;ЛЦ0011118;0;0;
17;28.05.2023;ЛУ0000117;0;0;
17;28.05.2023;ЛЦ0003980;130;20182,51;
17;28.05.2023;ЛЦ0010842;0;0;
17;28.05.2023;ЛЦ0007894;151;27784;
17;28.05.2023;ЛУ0000011;341,5;62836;
17;28.05.2023;ЛЦ0010462;0;0;
17;28.05.2023;ЛЦ0011122;0;0;
17;28.05.2023;ЛЦ0002218;40;4690,5;
17;28.05.2023;ЛУ0000005;156;8392,8;
17;28.05.2023;ЛУ0000248;0;0;
17;28.05.2023;ЛЦ0010461;329,1;60554,4;
